@relation data/jdt-original.csv-weka.filters.unsupervised.attribute.Remove-R1

@attribute WCHU_fanIn numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute numberOfNonTrivialBugsFoundUntil numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute CvsLinEntropy numeric
@attribute WCHU_numberOfPublicAttributes numeric
@attribute WCHU_numberOfAttributes numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute LDHH_rfc numeric
@attribute WCHU_noc numeric
@attribute ck_oo_noc numeric
@attribute ck_oo_numberOfLinesOfCode numeric
@attribute label {0,1}

@data
0.0,1.03,7.0,0.0,0.0,2.0,0.144342,0.0,0.0,0.01375,0.009977,0.0,4.0,126.0,1
0.0,0.0,5.0,0.0,0.0,9.0,0.013837,1.01,1.01,0.002288,0.00269,0.0,1.0,101.0,0
0.0,1.01,2.0,0.0,0.0,2.0,0.002873,0.0,0.0,0.002288,0.0,0.0,0.0,33.0,0
0.0,1.02,0.0,0.0,0.0,1.0,0.003711,0.0,0.0,0.00448,0.0,0.0,1.0,35.0,0
0.0,1.06,16.0,1.01,0.0,4.0,0.146399,0.0,1.01,0.009479,0.046081,0.0,0.0,495.0,1
0.0,23.65,14.0,0.0,0.0,6.0,0.022914,1.01,1.01,0.002695,0.002055,0.0,0.0,192.0,0
2.02,0.0,5.0,0.0,0.0,3.0,0.147029,4.07,4.07,0.001487,0.000743,0.0,0.0,80.0,0
0.0,0.0,1.0,0.0,0.0,3.0,0.008093,0.0,0.0,0.001487,0.0,0.0,0.0,25.0,0
0.0,0.0,1.0,0.0,0.0,44.0,0.130063,0.0,0.0,0.001487,0.0,0.0,0.0,169.0,0
4.08,1.03,16.0,0.0,0.0,14.0,0.025544,0.0,0.0,0.028092,0.008126,0.0,2.0,312.0,0
0.0,0.0,0.0,0.0,0.0,3.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,72.0,0
0.0,0.0,1.0,0.0,0.0,3.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,41.0,0
1.01,1.01,7.0,0.0,0.0,5.0,0.154542,0.0,0.0,0.003929,0.0,0.0,0.0,70.0,0
0.0,0.0,11.0,1.01,0.0,20.0,0.019364,0.0,1.01,0.001487,0.001884,0.0,0.0,419.0,0
4.04,0.0,3.0,0.0,0.0,6.0,0.009171,1.01,1.01,0.001487,0.002038,1.01,1.0,50.0,0
0.0,0.0,1.0,0.0,0.0,4.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,17.0,0
1.01,8.19,16.0,0.0,0.000673,11.0,0.036144,1.01,5.07,0.001487,0.005615,0.0,0.0,329.0,1
1.01,23.66,3.0,1.01,0.0,9.0,0.169321,0.0,1.05,0.027085,0.018103,1.03,0.0,63.0,0
0.0,0.0,2.0,1.01,0.0,6.0,0.054678,0.0,1.01,0.0,0.02163,0.0,0.0,41.0,0
2.03,0.0,3.0,0.0,0.0,8.0,0.03168,1.02,1.02,0.001487,0.004999,0.0,0.0,24.0,1
0.0,0.0,15.0,0.0,0.0,6.0,0.031608,0.0,0.0,0.001487,0.0,0.0,0.0,233.0,0
4.05,1.01,10.0,0.0,0.0,4.0,0.153579,0.0,0.0,0.004821,0.000969,0.0,0.0,136.0,0
0.0,12.41,11.0,2.06,0.0,10.0,0.022586,1.01,2.07,0.00349,0.005504,0.0,0.0,387.0,0
0.0,1.12,6.0,0.0,0.001009,1.0,0.151972,0.0,0.0,0.01375,0.00472,0.0,1.0,124.0,0
0.0,0.0,5.0,0.0,0.0,11.0,0.168149,1.04,1.04,0.00753,0.005893,0.0,0.0,158.0,0
0.0,23.66,0.0,0.0,0.0,2.0,0.005998,0.0,0.0,0.014073,0.0,0.0,0.0,7.0,0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1
0.0,0.0,27.0,1.07,0.0,1.0,0.024861,0.0,1.07,0.0,0.002224,0.0,0.0,21.0,0
0.0,0.0,0.0,0.0,0.0,7.0,0.006219,0.0,0.0,0.00753,0.0,0.0,0.0,26.0,0
0.0,0.0,2.0,0.0,0.0,1.0,0.024688,0.0,0.0,0.0,0.0,0.0,1.0,299.0,0
0.0,0.0,1.0,0.0,0.0,10.0,0.003344,0.0,0.0,0.001471,0.001745,0.0,2.0,57.0,0
1.01,3.14,80.0,3.06,0.017387,20.0,0.272317,10.14,14.23,0.001487,0.087735,0.0,0.0,2557.0,1
0.0,1.01,7.0,0.0,0.0,3.0,0.154542,0.0,0.0,0.003929,0.0,0.0,0.0,72.0,0
0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0
0.0,0.0,0.0,0.0,0.0,5.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,28.0,0
0.0,23.66,21.0,0.0,0.000936,12.0,0.035374,0.0,0.0,0.01594,0.005219,0.0,0.0,799.0,0
0.0,11.08,33.0,0.0,0.0,2.0,0.158754,1.01,2.07,0.001487,0.019347,0.0,1.0,681.0,0
8.08,15.06,67.0,3.08,0.001794,43.0,0.244915,1.02,2.02,0.058926,0.051862,0.0,1.0,1461.0,1
4.04,0.0,3.0,0.0,0.0,6.0,0.009171,1.01,1.01,0.001487,0.002038,1.01,1.0,50.0,0
1.01,0.0,5.0,0.0,0.0,14.0,0.01837,0.0,0.0,0.006284,0.004945,0.0,2.0,233.0,0
0.0,0.0,0.0,0.0,0.0,7.0,0.006219,0.0,0.0,0.00753,0.0,0.0,0.0,26.0,0
0.0,0.0,7.0,0.0,0.0,2.0,0.151772,0.0,0.0,0.01375,0.004897,0.0,0.0,83.0,0
0.0,0.0,6.0,0.0,0.0,2.0,0.016614,0.0,0.0,0.002455,0.0041,0.0,0.0,156.0,0
0.0,0.0,4.0,0.0,0.0,3.0,0.015554,0.0,0.0,0.001487,0.0,0.0,0.0,36.0,0
0.0,12.41,9.0,0.0,0.0,9.0,0.05047,0.0,0.0,0.00349,0.008121,0.0,1.0,139.0,1
2.02,0.0,1.0,0.0,0.0,2.0,0.003467,0.0,0.0,0.001487,0.0,0.0,0.0,8.0,0
0.0,23.66,1.0,0.0,0.0,3.0,0.006219,0.0,0.0,0.012864,0.0,0.0,0.0,16.0,0
0.0,18.61,169.0,8.13,0.050951,9.0,0.297747,15.2,22.4,0.015179,0.114201,0.0,0.0,7341.0,1
0.0,1.01,8.0,0.0,0.0,3.0,0.151789,0.0,0.0,0.004821,0.0,0.0,0.0,125.0,0
0.0,23.66,44.0,0.0,0.0,25.0,0.235954,0.0,0.0,0.012864,0.049008,0.0,3.0,986.0,1
0.0,1.01,5.0,0.0,0.0,3.0,0.154542,0.0,0.0,0.003929,0.0,0.0,0.0,60.0,0
9.13,0.0,16.0,3.04,0.00081,17.0,0.170381,7.09,9.13,0.001487,0.009468,0.0,0.0,245.0,1
0.0,14.23,0.0,0.0,0.0,2.0,0.006219,0.0,0.0,0.006896,0.0,0.0,0.0,11.0,0
0.0,14.23,1.0,0.0,0.0,4.0,0.011926,0.0,0.0,0.006896,0.001833,0.0,0.0,69.0,1
0.0,1.01,9.0,0.0,0.0,6.0,0.154542,0.0,0.0,0.004821,0.0,0.0,0.0,96.0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.006219,0.0,0.0,0.003131,0.0,0.0,0.0,3.0,0
0.0,0.0,3.0,0.0,0.0,8.0,0.148538,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0
0.0,24.63,36.0,0.0,0.0,14.0,0.070919,1.01,1.01,0.002695,0.012384,0.0,0.0,437.0,1
1.02,2.05,1.0,0.0,0.0,4.0,0.009766,0.0,0.0,0.036469,0.001035,0.0,0.0,23.0,0
11.18,1.02,74.0,2.02,0.0054,41.0,0.083329,7.12,9.28,0.001487,0.021939,1.01,4.0,3449.0,1
1.07,1.01,3.0,0.0,0.0,7.0,0.003467,0.0,0.0,0.003929,0.000836,0.0,6.0,74.0,0
0.0,12.41,11.0,2.06,0.0,10.0,0.022586,1.01,2.07,0.00349,0.005504,0.0,0.0,387.0,0
6.1,0.0,30.0,3.03,0.0,15.0,0.20306,0.0,3.03,0.001487,0.02203,0.0,0.0,426.0,1
0.0,1.02,8.0,2.03,0.009707,3.0,0.148811,0.0,2.03,0.001487,0.009323,0.0,0.0,2262.0,0
0.0,8.21,17.0,0.0,0.001834,3.0,0.051894,0.0,0.0,0.005679,0.010474,0.0,0.0,707.0,0
5.06,0.0,8.0,0.0,0.0,5.0,0.021497,1.01,1.01,0.001487,0.00602,0.0,0.0,62.0,0
0.0,0.0,0.0,0.0,0.0,41.0,0.007694,0.0,0.0,0.001487,0.0,0.0,0.0,145.0,0
0.0,23.66,0.0,0.0,0.0,2.0,0.005998,0.0,0.0,0.014073,0.0,0.0,0.0,7.0,0
1.01,4.09,34.0,0.0,0.00232,2.0,0.228648,0.0,1.01,0.006178,0.04661,0.0,0.0,706.0,1
0.0,23.66,2.0,0.0,0.0,11.0,0.013606,0.0,0.0,0.012864,0.001769,0.0,0.0,75.0,0
0.0,23.65,10.0,0.0,0.0,8.0,0.022266,1.01,1.02,0.002695,0.002143,0.0,2.0,31.0,0
4.07,1.01,4.0,0.0,0.0,9.0,0.006897,0.0,0.0,0.004821,0.0,0.0,3.0,61.0,0
0.0,11.86,33.0,0.0,0.0,2.0,0.047218,0.0,0.0,0.013482,0.013002,0.0,0.0,638.0,1
0.0,0.0,6.0,1.06,0.0,13.0,0.142393,4.09,3.03,0.001487,0.001538,0.0,0.0,258.0,0
4.05,1.01,10.0,0.0,0.0,4.0,0.153579,0.0,0.0,0.004821,0.000969,0.0,0.0,136.0,0
0.0,1.02,4.0,0.0,0.0,31.0,0.007847,0.0,0.0,0.004391,0.001935,0.0,0.0,145.0,0
0.0,0.0,0.0,0.0,0.0,3.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,22.0,0
2.02,15.06,27.0,0.0,0.0,25.0,0.18113,1.01,1.01,0.058926,0.0303,0.0,0.0,533.0,1
1.01,8.19,16.0,0.0,0.000673,11.0,0.036144,1.01,5.07,0.001487,0.005615,0.0,0.0,329.0,1
23.29,15.05,49.0,2.03,0.00081,69.0,0.210879,1.01,3.04,0.048762,0.032409,1.01,8.0,840.0,1
0.0,8.09,17.0,0.0,0.00065,3.0,0.148013,0.0,0.0,0.015473,0.001899,0.0,0.0,57.0,0
0.0,1.12,23.0,0.0,0.001009,1.0,0.15278,0.0,1.01,0.01375,0.012977,0.0,1.0,516.0,1
0.0,0.0,2.0,0.0,0.0,1.0,0.006219,0.0,0.0,0.002666,0.0,0.0,0.0,27.0,0
2.03,23.66,35.0,0.0,0.0,21.0,0.221639,0.0,0.0,0.012864,0.060975,0.0,5.0,787.0,1
11.18,1.02,74.0,2.02,0.0054,41.0,0.083329,7.12,9.28,0.001487,0.021939,1.01,4.0,3449.0,1
0.0,23.66,4.0,0.0,0.0,8.0,0.015947,0.0,0.0,0.014073,0.000956,0.0,1.0,110.0,0
0.0,8.3,4.0,0.0,0.00303,8.0,0.122647,0.0,0.0,0.009982,0.003276,0.0,0.0,266.0,0
6.1,0.0,30.0,3.03,0.0,15.0,0.20306,0.0,3.03,0.001487,0.02203,0.0,0.0,426.0,1
0.0,0.0,0.0,0.0,0.0,1.0,0.008135,0.0,0.0,0.0,0.0,0.0,1.0,32.0,0
0.0,0.0,4.0,2.02,0.001859,9.0,0.071511,0.0,2.02,0.0,0.0078,0.0,0.0,606.0,1
0.0,0.0,9.0,1.01,0.004268,14.0,0.206383,0.0,1.01,0.001471,0.033582,0.0,0.0,190.0,1
1.01,0.0,4.0,1.01,0.000531,3.0,0.019744,1.01,2.02,0.001487,0.003415,0.0,1.0,16.0,1
0.0,0.0,2.0,1.01,0.0,0.0,0.112489,0.0,1.01,0.0,0.0,0.0,2.0,246.0,0
0.0,1.01,4.0,0.0,0.0,5.0,0.153579,0.0,0.0,0.003929,0.0,0.0,0.0,91.0,0
0.0,23.66,0.0,0.0,0.0,3.0,0.006219,0.0,0.0,0.014073,0.0,0.0,5.0,11.0,0
0.0,11.08,19.0,0.0,0.0,7.0,0.03027,0.0,0.0,0.001487,0.004845,0.0,1.0,193.0,1
0.0,0.0,1.0,0.0,0.0,5.0,0.125854,0.0,0.0,0.001487,0.0,0.0,2.0,12.0,0
0.0,0.0,0.0,0.0,0.0,6.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,30.0,0
0.0,0.0,0.0,0.0,0.00526,1.0,0.054102,0.0,0.0,0.0,0.011554,0.0,0.0,6.0,0
0.0,0.0,5.0,0.0,0.0,2.0,0.176531,0.0,0.0,0.010253,0.019991,0.0,3.0,63.0,0
0.0,0.0,6.0,0.0,0.0,1.0,0.009947,0.0,0.0,0.001487,0.0,0.0,0.0,62.0,0
0.0,0.0,1.0,0.0,0.0,3.0,0.006219,0.0,0.0,0.002666,0.0,0.0,6.0,6.0,0
0.0,3.16,3.0,0.0,0.0,5.0,0.013218,0.0,0.0,0.025186,0.003767,0.0,0.0,29.0,0
0.0,0.0,11.0,0.0,0.0,3.0,0.021916,0.0,0.0,0.002455,0.004464,0.0,2.0,242.0,0
0.0,24.66,6.0,0.0,0.0,4.0,0.015716,0.0,0.0,0.002695,0.002611,0.0,0.0,72.0,0
0.0,12.41,0.0,0.0,0.0,4.0,0.005718,0.0,0.0,0.004885,0.0,0.0,0.0,54.0,1
4.04,1.01,3.0,0.0,0.0,5.0,0.151789,0.0,0.0,0.003929,0.0,0.0,0.0,80.0,0
2.04,0.0,2.0,0.0,0.0,6.0,0.008974,0.0,1.01,0.001487,0.001145,0.0,1.0,39.0,0
0.0,0.0,10.0,0.0,0.0,2.0,0.148299,0.0,0.0,0.01375,0.002411,0.0,1.0,223.0,1
2.02,4.18,7.0,3.08,0.0,9.0,0.05774,2.05,3.05,0.010731,0.01272,0.0,0.0,136.0,0
4.07,1.01,4.0,0.0,0.0,9.0,0.006897,0.0,0.0,0.004821,0.0,0.0,3.0,61.0,0
0.0,1.03,7.0,0.0,0.0,2.0,0.13446,0.0,0.0,0.01375,0.001814,0.0,0.0,59.0,0
1.01,0.0,0.0,1.03,0.0,4.0,0.003978,0.0,1.03,0.002618,0.000954,0.0,0.0,33.0,0
2.04,0.0,2.0,0.0,0.0,6.0,0.008974,0.0,1.01,0.001487,0.001145,0.0,1.0,39.0,0
0.0,1.01,3.0,0.0,0.0,1.0,0.149865,0.0,0.0,0.005735,0.0,0.0,0.0,54.0,0
0.0,24.63,14.0,0.0,0.0,10.0,0.160762,0.0,0.0,0.002695,0.005352,0.0,0.0,231.0,1
0.0,0.0,0.0,0.0,0.0,9.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,27.0,0
0.0,0.0,9.0,0.0,0.0,0.0,0.136917,0.0,0.0,0.01375,0.000845,0.0,0.0,90.0,0
0.0,1.01,7.0,1.01,0.0,4.0,0.14727,0.0,1.01,0.009737,0.00422,0.0,0.0,13.0,1
0.0,0.0,18.0,0.0,0.0,6.0,0.182453,3.09,2.08,0.001487,0.016256,0.0,2.0,230.0,1
0.0,0.0,0.0,0.0,0.0,6.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,30.0,0
2.02,1.04,16.0,0.0,0.0,22.0,0.166991,0.0,0.0,0.032335,0.010898,0.0,1.0,222.0,0
2.02,0.0,35.0,0.0,0.0,2.0,0.223532,0.0,4.09,0.002036,0.026592,0.0,2.0,639.0,1
0.0,14.63,0.0,0.0,0.0,4.0,0.004246,0.0,0.0,0.002695,0.0,0.0,0.0,23.0,0
0.0,0.0,6.0,0.0,0.0,1.0,0.135944,0.0,0.0,0.001487,0.002302,0.0,0.0,157.0,0
0.0,23.66,1.0,0.0,0.0,2.0,0.009766,0.0,0.0,0.015701,0.00087,0.0,0.0,15.0,0
0.0,26.69,3.0,0.0,0.0,2.0,0.006363,1.02,1.02,0.002542,0.0,0.0,0.0,10.0,0
0.0,1.02,0.0,0.0,0.0,1.0,0.003711,0.0,0.0,0.00448,0.0,0.0,0.0,35.0,0
0.0,0.0,1.0,0.0,0.0,2.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,311.0,0
2.02,0.0,8.0,1.02,0.0,9.0,0.150163,1.01,1.01,0.0,0.005768,0.0,1.0,199.0,1
2.03,14.46,14.0,0.0,0.0,5.0,0.174812,0.0,0.0,0.016095,0.00207,0.0,1.0,34.0,0
0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0
1.01,29.73,8.0,3.04,0.0,20.0,0.024487,0.0,4.05,0.002288,0.007296,0.0,0.0,164.0,0
5.07,6.42,18.0,1.02,0.0,6.0,0.045345,3.03,3.04,0.014165,0.014056,2.02,9.0,306.0,1
4.07,1.01,4.0,0.0,0.0,9.0,0.006897,0.0,0.0,0.004821,0.0,0.0,3.0,61.0,0
0.0,0.0,2.0,0.0,0.0,0.0,0.013595,1.02,1.02,0.001487,0.001927,0.0,0.0,99.0,0
3.03,0.0,3.0,0.0,0.0,6.0,0.008659,0.0,0.0,0.001487,0.001747,2.02,0.0,71.0,0
1.01,23.66,19.0,0.0,0.0,16.0,0.177189,0.0,0.0,0.014073,0.023396,0.0,3.0,337.0,1
5.13,24.65,57.0,0.0,0.000936,25.0,0.222874,0.0,3.06,0.002695,0.009477,0.0,2.0,624.0,1
0.0,0.0,1.0,0.0,0.0,3.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,21.0,0
0.0,24.67,1.0,0.0,0.0,3.0,0.015395,0.0,0.0,0.014073,0.00083,0.0,0.0,41.0,0
1.01,23.66,3.0,1.01,0.0,9.0,0.169321,0.0,1.05,0.027085,0.018103,1.03,0.0,63.0,0
0.0,14.23,7.0,0.0,0.0,5.0,0.147945,0.0,0.0,0.006896,0.000683,0.0,0.0,124.0,0
0.0,3.16,3.0,0.0,0.0,5.0,0.013218,0.0,0.0,0.025186,0.003767,0.0,0.0,29.0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0
0.0,0.0,4.0,2.02,0.0,20.0,0.021435,0.0,2.02,0.0,0.003023,0.0,0.0,356.0,0
0.0,0.0,2.0,0.0,0.0,6.0,0.014335,0.0,0.0,0.001487,0.000845,0.0,0.0,56.0,0
0.0,0.0,2.0,0.0,0.0,8.0,0.01318,0.0,0.0,0.001487,0.000969,0.0,0.0,74.0,0
2.02,23.65,37.0,0.0,0.0,8.0,0.200719,1.01,1.01,0.002977,0.018972,0.0,5.0,241.0,0
1.01,0.0,3.0,0.0,0.0,5.0,0.133409,0.0,0.0,0.001487,0.001035,0.0,2.0,47.0,0
0.0,0.0,0.0,0.0,0.0,2.0,0.007492,0.0,0.0,0.00448,0.0,0.0,0.0,40.0,0
0.0,9.3,0.0,0.0,0.0,2.0,0.006219,0.0,0.0,0.006703,0.0,0.0,0.0,10.0,1
0.0,23.66,4.0,0.0,0.0,8.0,0.015947,0.0,0.0,0.014073,0.000956,0.0,1.0,110.0,0
0.0,4.09,9.0,0.0,0.0,16.0,0.171654,0.0,2.05,0.031442,0.032568,0.0,0.0,123.0,1
0.0,23.66,13.0,0.0,0.0,5.0,0.138916,0.0,0.0,0.014073,0.009234,0.0,0.0,184.0,1
1.01,23.66,1.0,0.0,0.0,7.0,0.017232,0.0,0.0,0.027085,0.001792,0.0,0.0,67.0,0
0.0,0.0,1.0,0.0,0.0,6.0,0.005853,0.0,0.0,0.001487,0.0,0.0,0.0,79.0,0
1.01,3.04,5.0,1.01,0.0,16.0,0.008412,0.0,2.02,0.002479,0.002638,0.0,0.0,191.0,0
0.0,0.0,4.0,0.0,0.0,3.0,0.015554,0.0,0.0,0.001487,0.0,0.0,0.0,36.0,0
0.0,23.64,1.0,0.0,0.0,3.0,0.011757,0.0,0.0,0.003869,0.0,0.0,0.0,20.0,0
0.0,1.06,16.0,1.01,0.0,4.0,0.146399,0.0,1.01,0.009479,0.046081,0.0,0.0,495.0,1
1.01,0.0,1.0,0.0,0.0,2.0,0.152618,0.0,0.0,0.001487,0.0,0.0,0.0,14.0,0
2.02,1.01,2.0,0.0,0.0,7.0,0.003467,0.0,0.0,0.003929,0.0,0.0,6.0,24.0,0
0.0,0.0,8.0,0.0,0.0,2.0,0.02189,0.0,0.0,0.001487,0.00124,0.0,0.0,103.0,0
0.0,1.01,6.0,0.0,0.0,3.0,0.154542,0.0,0.0,0.003929,0.0,0.0,0.0,53.0,0
1.01,0.0,1.0,0.0,0.0,8.0,0.009141,0.0,0.0,0.001487,0.000617,0.0,0.0,94.0,0
2.02,0.0,1.0,0.0,0.0,2.0,0.003467,0.0,0.0,0.001487,0.0,0.0,0.0,8.0,0
0.0,0.0,0.0,0.0,0.0,3.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,15.0,0
4.04,0.0,3.0,0.0,0.0,6.0,0.009171,1.01,1.01,0.001487,0.002038,1.01,1.0,50.0,0
0.0,0.0,0.0,0.0,0.0,3.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,22.0,0
10.24,0.0,48.0,1.01,0.0,96.0,0.219321,0.0,2.03,0.001487,0.028846,0.0,0.0,804.0,0
0.0,0.0,3.0,0.0,0.0,5.0,0.007977,0.0,0.0,0.001487,0.0,0.0,2.0,81.0,0
0.0,0.0,0.0,0.0,0.0,11.0,0.006219,0.0,0.0,0.001487,0.0,0.0,0.0,78.0,0
1.01,1.01,2.0,0.0,0.0,1.0,0.154542,0.0,0.0,0.003929,0.0,0.0,0.0,31.0,0
0.0,0.0,3.0,0.0,0.0,3.0,0.005633,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0
0.0,1.12,2.0,0.0,0.0,1.0,0.009727,0.0,0.0,0.01375,0.000845,0.0,1.0,9.0,0
0.0,0.0,24.0,0.0,0.000462,15.0,0.146891,0.0,0.0,0.002378,0.01128,0.0,0.0,781.0,0
11.25,15.06,66.0,1.01,0.0,46.0,0.228898,1.01,0.0,0.058926,0.061891,0.0,1.0,866.0,1
0.0,0.0,2.0,0.0,0.0,6.0,0.007694,0.0,0.0,0.005047,0.0,0.0,2.0,82.0,0
0.0,23.65,10.0,0.0,0.0,3.0,0.023864,1.01,1.01,0.002695,0.001924,1.01,3.0,39.0,0
